id,function,category,description
GV.OC-01,GOVERN,Organizational Context,"The organizational mission is understood and informs cybersecurity risk management"
GV.OC-02,GOVERN,Organizational Context,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered"
GV.OC-03,GOVERN,Organizational Context,"Legal, regulatory, and contractual requirements regarding cybersecurity—including privacy and civil liberties obligations—are understood and managed"
GV.OC-04,GOVERN,Organizational Context,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated"
GV.OC-05,GOVERN,Organizational Context,"Outcomes, capabilities, and services that the organization depends on are understood and communicated"
GV.RM-01,GOVERN,Risk Management Strategy,"Risk management objectives are established and agreed to by organizational stakeholders"
GV.RM-02,GOVERN,Risk Management Strategy,"Risk appetite and risk tolerance statements are established, communicated, and maintained"
GV.RM-03,GOVERN,Risk Management Strategy,"Cybersecurity risk management activities and outcomes are included in enterprise risk management processes"
GV.RM-04,GOVERN,Risk Management Strategy,"Strategic direction that describes appropriate risk response options is established and communicated"
GV.RM-05,GOVERN,Risk Management Strategy,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties"
GV.RM-06,GOVERN,Risk Management Strategy,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated"
GV.RM-07,GOVERN,Risk Management Strategy,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions"
GV.RR-01,GOVERN,"Roles, Responsibilities, and Authorities","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving"
GV.RR-02,GOVERN,"Roles, Responsibilities, and Authorities","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced"
GV.RR-03,GOVERN,"Roles, Responsibilities, and Authorities","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies"
GV.RR-04,GOVERN,"Roles, Responsibilities, and Authorities","Cybersecurity is included in human resources practices"
GV.PO-01,GOVERN,Policy,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced"
GV.PO-02,GOVERN,Policy,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission"
GV.OV-01,GOVERN,Oversight,"Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction"
GV.OV-02,GOVERN,Oversight,"The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks"
GV.OV-03,GOVERN,Oversight,"Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed"
GV.SC-01,GOVERN,Cybersecurity Supply Chain Risk Management,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders"
GV.SC-02,GOVERN,Cybersecurity Supply Chain Risk Management,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally"
GV.SC-03,GOVERN,Cybersecurity Supply Chain Risk Management,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes"
GV.SC-04,GOVERN,Cybersecurity Supply Chain Risk Management,"Suppliers are known and prioritized by criticality"
GV.SC-05,GOVERN,Cybersecurity Supply Chain Risk Management,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties"
GV.SC-06,GOVERN,Cybersecurity Supply Chain Risk Management,"Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships"
GV.SC-07,GOVERN,Cybersecurity Supply Chain Risk Management,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship"
GV.SC-08,GOVERN,Cybersecurity Supply Chain Risk Management,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities"
